Spain, Death rates (period 1x10), 	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1930-1939       46             0.007705        0.012857        0.010181
1930-1939       47             0.007054        0.012671        0.009754
1930-1939       48             0.009487        0.015867        0.012557
1930-1939       49             0.007177        0.013264        0.010114
1930-1939       50             0.014155        0.020887        0.017402
1930-1939       51             0.006821        0.012868        0.009722
1930-1939       52             0.011722        0.019434        0.015403
1930-1939       53             0.009895        0.017499        0.013506
1930-1939       54             0.012215        0.020176        0.015980
1930-1939       55             0.014362        0.023288        0.018566
1930-1939       56             0.015119        0.024257        0.019403
1930-1939       57             0.012744        0.021984        0.017061
1930-1939       58             0.018089        0.028488        0.022928
1930-1939       59             0.013807        0.024853        0.018932
1930-1939       60             0.032187        0.043151        0.037258
1930-1939       61             0.015438        0.023738        0.019267
1930-1939       62             0.025926        0.039251        0.032058
1930-1939       63             0.024257        0.037498        0.030331
1930-1939       64             0.030035        0.043041        0.036005
1930-1939       65             0.040053        0.054474        0.046680
1930-1939       66             0.036153        0.050894        0.042921
1930-1939       67             0.036102        0.052420        0.043576
1930-1939       68             0.045688        0.060531        0.052462
1930-1939       69             0.032616        0.048158        0.039699
1930-1939       70             0.088824        0.096917        0.092512
1930-1939       71             0.038545        0.054628        0.045864
1930-1939       72             0.073931        0.094693        0.083327
1930-1939       73             0.065351        0.090671        0.076692
1930-1939       74             0.082162        0.105881        0.092659
1930-1939       75             0.108612        0.134699        0.120011
1930-1939       76             0.101140        0.128849        0.113081
1930-1939       77             0.098491        0.135593        0.114251
1930-1939       78             0.145717        0.181933        0.160803
1930-1939       79             0.093231        0.129322        0.107959
1930-1939       80             0.193428        0.209730        0.199657
1930-1939       81             0.080142        0.112791        0.092445
1930-1939       82             0.143842        0.184566        0.158862
1930-1939       83             0.118806        0.165166        0.135468
1930-1939       84             0.179835        0.232388        0.198194
1930-1939       85             0.197958        0.246799        0.214537
1930-1939       86             0.196700        0.256008        0.216246
1930-1939       87             0.185966        0.244222        0.204521
1930-1939       88             0.225889        0.306401        0.250486
1930-1939       89             0.182387        0.256207        0.203805
1930-1939       90             0.359357        0.395297        0.369417
1930-1939       91             0.141068        0.191863        0.154971
1930-1939       92             0.230881        0.295865        0.248088
1930-1939       93             0.201387        0.270252        0.218925
1930-1939       94             0.228234        0.310479        0.248322
1930-1939       95             0.287521        0.336231        0.298955
1930-1939       96             0.334529        0.394691        0.348295
1930-1939       97             0.320000        0.385466        0.334596
1930-1939       98             0.461668        0.601159        0.491135
1930-1939       99             0.417544        0.584769        0.448976
1930-1939      100             0.570263        0.603974        0.576012
1930-1939      101             0.291673        0.351388        0.301502
1930-1939      102             0.393183        0.448824        0.401745
1930-1939      103             0.381870        0.386001        0.382494
1930-1939      104             0.363780        0.358124        0.362887
1930-1939      105             0.507633        0.529725        0.511169
1930-1939      106             0.382592        0.387247        0.383319
1930-1939      107             0.418923        0.427061        0.420183
1930-1939      108             0.343245        0.377698        0.348643
1930-1939      109             0.243505        0.537471        0.286647
1930-1939      110+            0.473671        1.051897        0.523729
1940-1949        0             0.099293        0.115984        0.107837
1940-1949        1             0.022357        0.022840        0.022604
1940-1949        2             0.011036        0.011377        0.011210
1940-1949        3             0.006598        0.006907        0.006755
1940-1949        4             0.004782        0.005112        0.004950
1940-1949        5             0.003641        0.003963        0.003804
1940-1949        6             0.003037        0.003212        0.003126
1940-1949        7             0.002454        0.002813        0.002636
1940-1949        8             0.002022        0.002327        0.002176
1940-1949        9             0.001863        0.002161        0.002013
1940-1949       10             0.001706        0.002042        0.001875
1940-1949       11             0.001681        0.001907        0.001794
1940-1949       12             0.001763        0.001936        0.001850
1940-1949       13             0.001806        0.001906        0.001856
1940-1949       14             0.002141        0.002223        0.002182
1940-1949       15             0.002247        0.002290        0.002269
1940-1949       16             0.002573        0.002632        0.002603
1940-1949       17             0.002979        0.003241        0.003109
1940-1949       18             0.003361        0.004280        0.003817
1940-1949       19             0.003181        0.004310        0.003739
1940-1949       20             0.003526        0.005144        0.004323
1940-1949       21             0.003329        0.005593        0.004436
1940-1949       22             0.004071        0.006421        0.005207
1940-1949       23             0.004064        0.006602        0.005282
1940-1949       24             0.004011        0.006708        0.005295
1940-1949       25             0.004030        0.006862        0.005369
1940-1949       26             0.004167        0.006733        0.005374
1940-1949       27             0.004105        0.006955        0.005437
1940-1949       28             0.004419        0.007305        0.005760
1940-1949       29             0.003661        0.006511        0.004978
1940-1949       30             0.004727        0.007443        0.005981
